"","x"
"TCGA-D5-6930",28.1578947368421
"TCGA-BR-A452",2.10526315789474
"TCGA-VQ-A8E2",2.44736842105263
"TCGA-BR-4371",2.94736842105263
"TCGA-AZ-4308",1.36842105263158
"TCGA-HU-8245",1.39473684210526
"TCGA-CG-4462",1.18421052631579
"TCGA-AA-3867",2.15789473684211
"TCGA-HU-A4GN",25.3684210526316
"TCGA-A6-2679",3.10526315789474
"TCGA-D7-6526",4.15789473684211
"TCGA-AG-3575",0.342105263157895
"TCGA-D5-6928",37.5
"TCGA-BR-8591",35.3157894736842
"TCGA-CL-4957",1.71052631578947
"TCGA-AA-A02W",1.71052631578947
"TCGA-VQ-AA6A",1.94736842105263
"TCGA-AA-A010",337.131578947368
"TCGA-CM-5344",1.23684210526316
"TCGA-AA-3514",0.684210526315789
"TCGA-AA-A01P",34.3157894736842
"TCGA-EI-6513",2.92105263157895
"TCGA-CK-5916",33.6578947368421
"TCGA-BR-A4CQ",3.68421052631579
"TCGA-BR-7901",3
"TCGA-AZ-6608",2.94736842105263
"TCGA-D7-8570",2.26315789473684
"TCGA-NH-A6GC",2.55263157894737
"TCGA-D7-5577",2.52631578947368
"TCGA-AZ-5403",1.42105263157895
"TCGA-CG-5716",0.210526315789474
"TCGA-BR-6563",1.23684210526316
"TCGA-KB-A6F5",1.15789473684211
"TCGA-BR-8365",0.552631578947368
"TCGA-CD-8533",2.28947368421053
"TCGA-CM-5861",32.8684210526316
"TCGA-BR-8059",16.4473684210526
"TCGA-AG-A014",2.05263157894737
"TCGA-AA-3692",1.36842105263158
"TCGA-BR-7959",2
"TCGA-CM-6167",1.68421052631579
"TCGA-BR-6457",2.21052631578947
"TCGA-VQ-A8PF",1.97368421052632
"TCGA-AA-3844",2.47368421052632
"TCGA-NH-A8F7",4.73684210526316
"TCGA-DM-A28M",1.86842105263158
"TCGA-AZ-6603",1.68421052631579
"TCGA-AA-3814",2.02631578947368
"TCGA-R5-A7ZR",1.44736842105263
"TCGA-BR-8078",37.9210526315789
"TCGA-AA-3862",1.86842105263158
